Algorithm, InputSize, TimeMicroseconds
MultiplyMatrices_Baseline,62500,9967
MultiplyMatrices_LoopReordered,62500,9743
MultiplyMatrices_cacheTiling,62500,10629
MultiplyMatrices_Baseline,250000,87150
MultiplyMatrices_LoopReordered,250000,77423
MultiplyMatrices_cacheTiling,250000,87126
MultiplyMatrices_Baseline,562500,327080
MultiplyMatrices_LoopReordered,562500,257256
MultiplyMatrices_cacheTiling,562500,299156
MultiplyMatrices_Baseline,1000000,872576
MultiplyMatrices_LoopReordered,1000000,612112
MultiplyMatrices_cacheTiling,1000000,698448
MultiplyMatrices_Baseline,2250000,3.42492e+06
MultiplyMatrices_LoopReordered,2250000,2.06094e+06
MultiplyMatrices_cacheTiling,2250000,2.34816e+06
