Algorithm, InputSize, TimeMicroseconds
MultiplyMatrices_Baseline,62500,9633
MultiplyMatrices_LoopReordered,62500,9822
MultiplyMatrices_cacheTiling,62500,10604
MultiplyMatrices_Baseline,250000,84258
MultiplyMatrices_LoopReordered,250000,77307
MultiplyMatrices_cacheTiling,250000,93800
MultiplyMatrices_Baseline,562500,319384
MultiplyMatrices_LoopReordered,562500,252207
MultiplyMatrices_cacheTiling,562500,292156
MultiplyMatrices_Baseline,1000000,852896
MultiplyMatrices_LoopReordered,1000000,601043
MultiplyMatrices_cacheTiling,1000000,714701
MultiplyMatrices_Baseline,2250000,3.04428e+06
MultiplyMatrices_LoopReordered,2250000,2.02636e+06
MultiplyMatrices_cacheTiling,2250000,2.33912e+06
