Algorithm, InputSize, TimeMicroseconds
MatrixMultiply_SIMD_1Core,65536,1729
MatrixMultiply_SIMD_MultiThreaded,65536,29515
MatrixMultiply_SIMD_1Core,262144,26728
MatrixMultiply_SIMD_MultiThreaded,262144,16832
MatrixMultiply_SIMD_1Core,589824,52695
MatrixMultiply_SIMD_MultiThreaded,589824,15445
MatrixMultiply_SIMD_1Core,1000000,112424
MatrixMultiply_SIMD_MultiThreaded,1000000,31485
MatrixMultiply_SIMD_1Core,2359296,414988
MatrixMultiply_SIMD_MultiThreaded,2359296,90618
MatrixMultiply_SIMD_1Core,4000000,1.10816e+06
MatrixMultiply_SIMD_MultiThreaded,4000000,174053
