Algorithm, InputSize, TimeMicroseconds
VectorAdd_Baseline,1000,15
VectorAdd_Reserving,1000,71
VectorAdd_Prealloc,1000,15
VectorAdd_Baseline,10000,87
VectorAdd_Reserving,10000,611
VectorAdd_Prealloc,10000,132
VectorAdd_Baseline,100000,793
VectorAdd_Reserving,100000,5657
VectorAdd_Prealloc,100000,1294
VectorAdd_Baseline,1000000,7510
VectorAdd_Reserving,1000000,51923
VectorAdd_Prealloc,1000000,10522
VectorAdd_Baseline,10000000,63001
VectorAdd_Reserving,10000000,434242
VectorAdd_Prealloc,10000000,100671
